artigo_id_unico;titulo_unico;consulta_nome;base;autores;ano;abstract;journal;tipo_documento2;url;volume;pages;ISSN_ISBN;DOI;Excluir-2revisores2
1001;A CATEGORIZED SENTIMENT ANALYSIS OF CHINESE REVIEWS BY MINING DEPENDENCY IN PRODUCT FEATURES AND OPINIONS FROM BLOGS;SCOPUS;SCOPUS;Kao, H.-Y. and Lin, Z.-Y.;2010;In the past, there have been many documents focusing on English reviews for sentiment analysis. These contain abundant research results which extract features and opinions, identify semantic orientation, and associate features with opinions. Although this approach has performed well for English reviews, it is not as successful with Chinese reviews. In this paper, we aim to develop a sentiment analysis system that is suitable for Chinese reviews. This system would extract features that users are interested in and detect those opinions with semantic orientations that accord with the dependency of certain features and opinions in one specific category. We then present users with the integrated results. Our experiments show that the derived system can effectively measure the dependency between features and opinions. The prominent performance of review sentiment analysis also validates the applicability of the proposed method. Â© 2010 IEEE.;Proceedings - 2010 IEEE/WIC/ACM International Conference on Web Intelligence, WI 2010;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-78649885983&partnerID=40&md5=90a7f5e979244b3bad9f2df4bf9d10ac;1;456-459;10.1109/WI-IAT.2010.298;NULO;Excluir
1002;A CLASSIFICATION-BASED APPROACH FOR IMPLICIT FEATURE IDENTIFICATION;SCOPUS;SCOPUS;Zeng, L. and Li, F.;2013;In recent years, sentiment analysis and opinion mining has grown to be one of the most active research areas. Most of the existing researches on feature-level opinion mining are dedicated to extract explicitly appeared features and opinion words. However, among the numerous kinds of reviews on the web, there are a significant number of reviews that contain only opinion words which imply some product features. The identification of such implicit features is still one of the most challenge tasks in opinion mining. In this paper, we propose a classification-based approach to deal with the task of implicit feature identification. Firstly, by exploiting the word segmentation, part-of-speech(POS) tagging and dependency parsing, a rule based method to extract the explicit feature-opinion pairs is presented. Secondly, the feature-opinion pairs for each opinion word are clustered and the training documents for each clustered feature-opinion pair are then constructed. Finally, the identification of implicit features is formulated into a classification-based feature selection. Experiments demonstrate that our approach outperforms the existing methods significantly. Â© Springer-Verlag 2013.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84893031086&partnerID=40&md5=76e86e6f76a9976bbce233e476984a47;8202 LNAI;190-202;10.1007/978-3-642-41491-6_18;NULO;Incluir
1003;A COLLABORATIVE FILTERING APPROACH BASED ON USERS REVIEWS;IEEE_B;IEEE;DAddio, R.M. and Garcia Manzato, M.;2014;This paper proposes a collaborative filtering approach that uses users reviews to produce item descriptions that represent a consensus of users regarding items features. While earlier works focused on using structured metadata to represent items, recent approaches study how to use user-provided text, such as reviews, to produce better insights about the semantics in the content. Some involved problems, such as noise, personal opinions and false information are reduced by an algorithm based on sentiment analysis and natural language processing. We provide an evaluation using the MovieLens dataset, and the results are promising when compared to recommenders based only on structured metadata.;Intelligent Systems (BRACIS), 2014 Brazilian Conference on;NULO;NULO;NULO;204-209;10.1109/BRACIS.2014.45;NULO;Excluir
1004;A COMBINATION METHOD OF CRF WITH SYNTACTIC RULES TO IDENTIFY OPINION-HOLDER;SCOPUS;SCOPUS;Kuang, Y.a  and Zhou, Y.a  and He, H.b;2010;This paper presents another aspect of sentiment analysis: identifying opinion-holder in the opinionated sentences. To extract opinion-holder, we firstly explore Conditional Random Field(CRF) based on six features including contextual, opinionated-trigger words, POS tags, named entity, dependency and proposed sentence structure feature, and dependency is adjusted to be better helpful for containing contextual dependency information. Then we propose two novel syntactic rules with opinionated-trigger words to directly identify opinion-holder from the parse trees. The results show that the precision from CRF is much higher than that of syntactic rules, while the recall is lower than. So we combine CRF with syntactic rules used as additional three features including HolderNode, ChunkPosition and Paths for the CRF to train our model. The combination results of the system illustrate the higher recall and higher F-measure under the almost same high precision. Â©2010 IEEE.;Proceedings of the 6th International Conference on Natural Language Processing and Knowledge Engineering, NLP-KE 2010;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-78649311691&partnerID=40&md5=0a70a85b068f5a9b04e346f322727f47;NULO;NULO;10.1109/NLPKE.2010.5587848;NULO;Excluir
1005;A COMPARATIVE STUDY OF FEATURE SELECTION AND MACHINE LEARNING ALGORITHMS FOR ARABIC SENTIMENT CLASSIFICATION;SCOPUS;SCOPUS;Omar, N. and Albared, M. and Al-Moslmi, T. and Al-Shabi, A.;2014;Sentiment analysis is a very challenging and important task that involves natural language processing, web mining, and machine learning. Sentiment analysis in the Arabic language is a more challenging task than in other languages due to the morphological complexity of the Arabic and the large variation of its dialects. This paper presents an empirical comparison of seven feature selection methods (Information Gain, Principal Components Analysis, Relief-F, Gini Index, Uncertainty, Chi-squared, and Support Vector Machines (SVMs)), and three machine learning classifiers (SVM, Naive Bayes, and K-nearest neighbor) for Arabic sentiment classification. A wide range of comparative experiments are conducted on an opinion corpus for Arabic (OCA). This paper demonstrates that feature selection does improve the performance of Arabic sentiment-based classification, but the result depends on the method used and the number of features selected. The experimental results demonstrate that feature reduction methods are found to improve the classifier performance. Moreover, the experimental results indicate that SVM-based feature selection yields the best performance for feature selection and that the SVM classifier outperforms the other techniques for Arabic sentimentbased classification. Finally, the experiments indicate that the SVM classifier with the SVM-based feature selection method yields the best classification method, with an accuracy of 92.4%.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-84912098458&partnerID=40&md5=a20f0cf8be13cb179dff0b5385585f03;8870;429-443;NULO;NULO;Excluir
1006;A COMPARATIVE STUDY OF FEATURE SELECTION AND MACHINE LEARNING METHODS FOR SENTIMENT CLASSIFICATION ON MOVIE DATA SET;SCOPUS;SCOPUS;Selvi, C. and Ahuja, C. and Sivasankar, E.;2015;Sentiment analysis has become a leading research domain with the advent of Web 2.0 where Web users express their opinions in user forums, blogs, discussion boards, and review sites. The online information is considered to be a valuable source for decision making, improving the quality of service, and helping the service providers to enhance their competitiveness. Since the processing of high-dimensional text data is not scalable, different feature selection mechanisms are being used to confine the study to only most informative features. These features are then used to train the classifier to improve the accuracy of sentiment-based classification. This paper explores six feature selection mechanisms (IG, GR, CHI, OneR, Relief-F, and SAE) with five different machine learning classifiers (SVM, NB, DT, K-NN, and ME) thereby providing Accuracy, on the movie review data set for each. Comparative results show that Naive Bayes (NB) outperforms other classifiers and works better for Gain Ratio (GR) and Significance Attribute Evaluation (SAE) feature selection method.;Advances in Intelligent Systems and Computing;Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-84924058158&partnerID=40&md5=71511599542993d7178a528e105e234f;343;367-379;10.1007/978-81-322-2268-2_39;NULO;Excluir
1007;A COMPARATIVE STUDY OF SELECTION AND MACHINE LEARNING TECHNIQUES FOR SENTIMENT ANALYSIS;SCOPUS;SCOPUS;Sharma, A. and Dey, S.;2012;Sentiment analysis is performed to extract opinion and subjectivity knowledge from user generated text content. This is contextually different from traditional topic based text classification since it involves classifying opinionated text according to the sentiment conveyed by it. Feature selection is a critical task in sentiment analysis and effectively selected representative features from subjective text can improve sentiment based classification. This paper explores the applicability of five commonly used feature selection methods in data mining research (DF, IG, GR, CHI and Relief-F) and seven machine learning based classification techniques (Naive Bayes, Support Vector Machine, Maximum Entropy, Decision Tree, K-Nearest Neighbor, Winnow, Adaboost) for sentiment analysis on online movie reviews dataset. The paper demonstrates that feature selection does improve the performance of sentiment based classification, but it depends on the method adopted and the number of feature selected. The experimental results presented in this paper show that Gain Ratio gives the best performance for sentimental feature selection, and SVM performs better than other techniques for sentiment based classification. Copyright 2012 ACM.;Proceeding of the 2012 ACM Research in Applied Computation Symposium, RACS 2012;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84871632838&partnerID=40&md5=e9d7cd5d9a2582d70d0c35b2077c6cb2;NULO;1-7;10.1145/2401603.2401605;NULO;Excluir
1008;A COMPARISON STUDY OF MULTI-CLASS SENTIMENT CLASSIFICATION FOR CHINESE REVIEWS;SCOPUS;SCOPUS;Zhang, D.a  b  and Li, S.a  and Zhu, C.b  and Niu, X.a  b  and Song, L.a;2010;Most of the previous researches on sentiment analysis concentrate on the binary distinction of positive vs. negative. This paper presents the multi-class sentiment classification problem that attempt to mine the implied rating information from reviews. We use four machine learning methods and two feature selection methods to find out whether or not the multi-class sentiment classification problem is the same to the binary sentiment classification problem, and whether it is equal to the traditional multi-class classification problem. Experiments show that multi-class sentiment classification problem is difficult than that of only determining the polarity of a review and that it is different from traditional multi-class classification problem, thus traditional multi-class classification method can not be directly used to deal with this problem. Â©2010 IEEE.;Proceedings - 2010 7th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2010;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-78649276123&partnerID=40&md5=52d40565bd0b93243042f776eb18c98c;5;2433-2436;10.1109/FSKD.2010.5569300;NULO;Excluir
1009;A CONTEXT-DEPENDENT SENTIMENT ANALYSIS OF ONLINE PRODUCT REVIEWS BASED ON DEPENDENCY RELATIONSHIPS;SCOPUS;SCOPUS;Yan, Z.a  and Xing, M.a  and Zhang, D.b  and Ma, B.a  and Wang, T.c;2014;Consumers often view online consumer product review as a main channel for obtaining product quality information. Existing studies on product review sentiment analysis usually focus on identifying sentiments of individual reviews as a whole, which may not be effective and helpful for consumers when purchase decisions depend on specific features of products. This study proposes a new feature-level sentiment analysis approach for online product reviews. The proposed method uses an extended PageRank algorithm to extract product features and construct expandable context-dependent sentiment lexicons. Moreover, consumers sentiment inclinations toward product features expressed in each review can be derived based on term dependency relationships. The empirical evaluation using consumer reviews of two different products shows a higher level of effectiveness of the proposed method for sentiment analysis in comparison to two existing methods. This study provides new research and practical insights on the analysis of online consumer product reviews.;35th International Conference on Information Systems --Building a Better World Through Information Systems--, ICIS 2014;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84923481372&partnerID=40&md5=8774ead61c9e7d4656a6b5b6f6ecf500;NULO;NULO;NULO;NULO;Incluir
1010;A DATA FUSION MODEL BASED ON BLOGOSPHERE EVALUATION;IEEE_B;IEEE;Yu Weng;2013;Considered the mutual influence of blog topic text and comment opinion, an alert monitoring and evaluation model for blogosphere is proposed. The model could effectively extract the blog topic features, detect the new alert event and calculate the comment opinion of blog. To validate the performance, the experiments on --Campus Network Culture Corpus-- further demonstrate the validity and practicality of alert evaluation for blogosphere.;Intelligent Networks and Intelligent Systems (ICINIS), 2013 6th International Conference on;NULO;NULO;NULO;268-270;10.1109/ICINIS.2013.75;NULO;Excluir
