"ID Paper";"Title";"ID Search Session";"Authors";"Abstract";"Status/Selection";"Status/Extraction";"Reading Priority";"Score";"Year";"Journal";"Keywords";"Type";"comment";"URL";"Volume";"Pages";"DOI";"ISSN/ISBN";"Importation Date";;"(E) Publicações com uma página, pôsteres, apresentações, resumos e índices de anais de eventos e editoriais";"(E) Publicações hospedadas em serviços inacessíveis";"(E) Publicações em idioma não considerado";"(E) Publicação que não se refere a tratamento/manipulação de textos.";"(E) Publicações que não se referem à semântica dos textos.";;"E1- Data da Extração";"E2- Versão/Revisor";"E4- Tipo do estudo : Primário";"E4- Tipo do estudo : Secundário}";"E5-Qual problema é tratado? Alta dimensionalidade, Tamanho dos textos, Qualidade dos textos?";"E6- Quais aspectos semânticos são considerados?";"E7- Como a semântica é representada?";"E8- É utilizada alguma fonte de informação externa? Qual?";"E9- A participação do usuário/especialista do domínio é requerida de alguma meneira? Como é realizada?";"E10- Qual tarefa de mineração de texto é abordada?";"E11-Trata um idioma específico ou é geral? Qual?";"E12- Qual algoritmo é utilizado?";"E13- Como é feita a avaliação dos resultados? Qual medida é utilizada?";"E14- Qual coleção de textos é utilizada?";"E15- É apresentado um caso de uso real? Qual domínio?";"E16- Os resultados apontam para uma vantagem do uso da semântica na mineração de textos?";"E17- É apresentada alguma desvantagem sobre o uso da semântica?";"E18- Notas adicionais (alguma informação importante, insight sobre o estudo ou referência que deve ser acrescentada à revisão sistemática).";"Q1- Os objetivos do trabalho são apresentados de maneira clara? : Sim";"Q1- Os objetivos do trabalho são apresentados de maneira clara? : Não}";"Pontuação para Q1";"Q2- É proposto um novo método que considera a semântica para a mineração de textos? : Sim";"Q2- É proposto um novo método que considera a semântica para a mineração de textos? : Não}";"Pontuação para Q2";"Q3- A coleção de textos está disponível para ser reutilizada? : Sim";"Q3- A coleção de textos está disponível para ser reutilizada? : Não}";"Pontuação para Q3";"Q4- O método utilizado é apresentado de maneira clara? : Sim";"Q4- O método utilizado é apresentado de maneira clara? : Não}";"Pontuação para Q4";"Q5- As abordagens aplicadas são detalhadas de forma que seja possível replicá-las? : Sim";"Q5- As abordagens aplicadas são detalhadas de forma que seja possível replicá-las? : Não}";"Pontuação para Q5";"Q6- Foram conduzidos testes experimentais? : Sim";"Q6- Foram conduzidos testes experimentais? : Não}";"Pontuação para Q6";"Q7- Os resultados são comparados com trabalhos anteriores ou com algum baseline? : Sim";"Q7- Os resultados são comparados com trabalhos anteriores ou com algum baseline? : Não}";"Pontuação para Q7";"Q8- É executado algum teste estatístico? Se sim, os resultados são apresentados de maneira clara? : Sim Teste";"Q8- É executado algum teste estatístico? Se sim, os resultados são apresentados de maneira clara? : Não Teste";"Q8- É executado algum teste estatístico? Se sim, os resultados são apresentados de maneira clara? : Sim Resultado";"Q8- É executado algum teste estatístico? Se sim, os resultados são apresentados de maneira clara? : Não Resultado]";"Pontuação para Q8";"Q9- As limitações do estudo são apresentadas? : Sim";"Q9- As limitações do estudo são apresentadas? : Não}";"Pontuação para Q9";"Q10-Número de páginas"
15081;"Dynamic semantic textual document clustering using frequent terms and named entity";0;"Yafooz, W.M.S. and Abidin, S.Z.Z. and Omar, N. and Halim, R.A.";"Data is mostly stored in digital format rather than hard copy because the former is safer, more secure, smaller in size, and faster to retrieve than the latter. With the increasing number of electronic documents to be organized for users to obtain knowledge and integrate information, document clustering has been applied by grouping textual documents based on their similarities. Many attempts have been made to perform textual document clustering with highly accurate results (i.e., close to nature classes) and high processing performance. However, such proposed techniques work in batch (or static) mode in which performance tend to be sacrificed with the use of all the terms in the document, at times resulting in overlapping or scalability issues. Few studies that focus on dynamic clustering also reported on performance issues. This paper contributes in the investigation of textual document clustering approaches and highlights the importance of using dynamic clustering in mining frequent terms with included named entity. This method is used to achieve high efficiency and high-quality data clustering. The method is also beneficial to be used in textual document clustering algorithms for many text domain applications. Â© 2013 IEEE.";"ACCEPTED";"ACCEPTED";"HIGH";52;"2013";"Proceedings - 2013 IEEE 3rd International Conference on System Engineering and Technology, ICSET 2013";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891139264&partnerID=40&md5=5ea08e54519298cd0851b6045fd8a10f";;"336-340";;;"01/31/2014";;"N";"N";"N";"N";"N";;"07/08/2014";"1";"Y";"N";"null";"null";"null";"null";"null";"agrupamento";"null";"semantic document clustering, reconhecimento de entidades nomeadas";"null";"null";"null";"null";"null";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"5"
15082;"Text clustering using statistical and semantic data";0;"Benghabrit, A.a  and Ouhbi, B.a  and Behja, H.a  and Frikh, B.b ";"The explosive growth of information stored in unstructured texts created a great demand for new and powerful tools to acquire useful information, such as text mining. Document clustering is one of its the powerful methods and by which document retrieval, organization and summarization can be achieved. However, it represents a challenge when dealing with a big number of data due to high dimensionality of the feature space and to the semantic correlation between features. In this paper, we propose a new sequential document clustering algorithm that uses a statistical and semantic feature selection methods. The semantic process was proposed to improve the frequency mechanism with the semantic relations of the text documents. The proposed algorithm selects iteratively relevant features and performs clustering until convergence. To evaluate its performance, experiments on two corpora have been conducted. The obtained results show that the performance of our algorithm is superior to that obtained by the existing algorithms. Â© 2013 IEEE.";"ACCEPTED";"ACCEPTED";"HIGH";37;"2013";"2013 World Congress on Computer and Information Technology, WCCIT 2013";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887879774&partnerID=40&md5=c4ecf2cb94ba14d32fab5d1a3c93af2b";;;;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"relacoes semanticas";"null";"null";"null";"null";"agrupamento";"null";"null";"null";"null";"null";"null";"null";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"null"
15088;"Text clustering using semantic features for utilizing NFC access information";0;"Park, S.a  and Kim, D.b  and Cha, B.c ";"This paper proposes a text clustering method using the reweighted term based on semantic features for utilizing NFC content. The proposed method uses text document samples of cluster by user to reduce the semantic gap between the user s requirement and clustering results by machine for utilizing NFC access information. The method can enhance the text clustering because it uses the reweighted term which can well represent an inherent structure of text document set relevant to a users requirement regarding NFC tags.";"ACCEPTED";"ACCEPTED";"VERY_LOW";33;"2013";"International Journal of Security and its Applications";;"Article";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883225824&partnerID=40&md5=9b7ea7775624be8a722f6a14499f29c2";"7";"395-404";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"atributos semanticos";"null";"null";"null";"null";"agrupamento";"null";"null";"null";"null";"null";"null";"null";"null";"N";"Y";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"10"
15090;"Classification analysis of authorship fiction texts in the space of semantic fields";0;"Pavlyshenko, B.";"The use of naive Bayesian classifier (NB) and the classifier by the k nearest neighbours (kNN) in a classification semantic analysis of authors texts of English fiction has been analyzed. The authors works are considered in the vector space the basis of which is formed by the frequency characteristics of semantic fields of nouns and verbs. Highly precise classification of authors texts in the vector space of semantic fields indicates the presence of particular spheres of the authors idiolect in this space which characterizes the individual authors style. Â© 2013 Taylor & Francis Group, LLC.";"ACCEPTED";"ACCEPTED";"LOW";38;"2013";"Journal of Quantitative Linguistics";;"Article";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880262814&partnerID=40&md5=467a42f45d4d30b5375028c8add1a8a6";"20";"218-226";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"null";"null";"atributos semanticos";"null";"null";"classificacao";"ingles";"Naive Bayes, KNN";"null";"null";"null";"null";"null";"uso de substantivos e verbos";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"9"
15092;"Enhanced cross-domain document clustering with a semantically enhanced text stemmer (SETS)";0;"Stankov, I. and Todorov, D. and Setchi, R.";"The aim of document clustering is to produce coherent clusters of similar documents. Clustering algorithms rely on text normalisation techniques to represent and cluster documents. Although most document clustering algorithms perform well in specific knowledge domains, processing cross-domain document repositories is still a challenge. This paper attempts to address this challenge. It investigates the performance of the sk-means clustering algorithm across domains, by comparing the cluster coherence produced with semantic-based and traditional (TF-IDF-based) document representations. The evaluation is conducted on 20 different generic sub-domains of a thousand documents, each randomly selected from the Reuters21578 corpus. The experimental results obtained from the evaluation demonstrate improved coherence of clusters produced by using a semantically enhanced text stemmer (SETS), when compared to the text normalisation obtained with the Porter stemmer. In addition, semantic-based text normalisation is shown to be resistant to noise, which is often introduced in the index aggregation stage, a stage that acquires features to represent documents. Â© 2013-IOS Press and the authors. All rights reserved.";"ACCEPTED";"ACCEPTED";"HIGH";53;"2013";"International Journal of Knowledge-Based and Intelligent Engineering Systems";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880246980&partnerID=40&md5=aeb8feaf50b3d7e91cc3037acabf63bd";"17";"113-126";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"multiplos dominios, representacao semantica";"null";"null";"null";"null";"agrupamento";"null";"K-means, semantically enhanced text stemmer";"null";"Reuters-21578";"null";"null";"null";"semantic-based text normalisation and representation";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"14"
15097;"Uyghur text clustering based on semantic word set";0;"Tian, S.a  and Zhai, X.b  and Yu, L.c  and Guo, H.c ";"In view of problems of high dimension, the sparsity of information and inconsideration of semantic relation between words of TF-IDF space vector, a method that uses semantic word set as features to reduce dimension and strengthen information density is proposed. This study uses the latent semantic analysis algorithm to obtain the semantic relations between words, and establishes the semantic dictionary by ESD, then we use the word set as features to express text features, and form TCSD combining with the clustering algorithm to cluster the corpus. The experimental results show that the precision rate is 94.29% and the recall rate is 94.28%, which indicate that TCSD performs better than the algorithms that use words as features. Copyright Â© 2013 Binary Information Press.";"ACCEPTED";"ACCEPTED";"VERY_LOW";29;"2013";"Journal of Computational Information Systems";;"Article";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875767775&partnerID=40&md5=1c057bae5cc58816126673f293d4da4d";"9";"781-790";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"relacoes semanticas";"null";"atributos semanticos";"null";"null";"agrupamento";"uigur";"LSA";"null";"null";"null";"null";"null";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"10"
15101;"Size (and domain) matters: Evaluating semantic word space representations for biomedical text";0;"Stenetorp, P.a  and Soyer, H.b  and Pyysalo, S.c  and Ananiadou, S.c  and Chikayama, T.b ";"Despite the availability of large corpora of unannotated biomedical scientific texts, domain machine learning-based systems tend to draw only on comparatively small manually annotated corpora. In this work, we explore opportunities to support supervised machine learning through the use of word representations induced from large unannotated corpora. We evaluate a number of established methods extrinsically, by studying the capacity of induced representations to support machine learning-based natural language processing tasks, specifically named entity recognition on three different corpora and semantic category disambiguation on a large automatically acquired corpus. Experiments demonstrate both a clear benefit of many semantic representations on both tasks and all corpora as well as a strong domain dependence, indicating that semantic representations should be induced on documents drawn from the domain relevant to the supervised learning tasks they aim to support.";"ACCEPTED";"ACCEPTED";"LOW";33;"2012";"SMBM 2012 - Proceedings of the 5th International Symposium on Semantic Mining in Biomedicine";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874260421&partnerID=40&md5=cda894b211b74023874586d09c464942";;"42-49";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"representacao semantica";"null";"null";"null";"null";"pre-processamento";"null";"null";"null";"null";"biomedicina";"null";"null";"semantic category disambiguation and semantic representation";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"8"
15104;"Text mining for wellbeing: Selecting stories using semantic and pragmatic features";0;"Honkela, T. and Izzatdust, Z. and Lagus, K.";"In this article, we explore an application in an area of research called wellbeing informatics. More specifically, we consider how to build a system that could be used for searching stories that relate to the interest of the user (content relevance), and help the user in his or her developmental process by providing encouragement, useful experiences, or otherwise supportive content (emotive relevance). The first objective is covered through topic modeling applying independent component analysis and the second by using sentiment analysis. We also use style analysis to exclude stories that are inappropriate in style. We discuss linguistic theories and methodological aspects of this area, outline a hybrid methodology that can be used in selecting stories that match both the content and emotive criteria, and present the results of experiments that have been used to validate the approach. Â© 2012 Springer-Verlag.";"ACCEPTED";"REJECTED";"LOW";10;"2012";"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867686529&partnerID=40&md5=16444b6ca2537a1cdb649887a944cd0c";"7553 LNCS";"467-474";;;"01/31/2014";;"N";"N";"N";"N";"N";;"07/08/2014";"1";"Y";"N";"null";"null";"atributos semanticos";"null";"null";"recuperacao de informacao, analise de sentimentos";"null";"ICA";"null";"null";"null";"null";"null";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"null"
15105;"Refined semantic kernel matching pursuit for fast text classification";0;"Zhang, Q. and Zhang, Z. and Wang, L.";"Kernel-based learning algorithms have been proven successful and powerful in many different tasks. However, directly applying them to text classification (TC) field will suffer inherent semantic ambiguity and prohibitive computational costs, which obstruct their practical use in large scale and real time applications with fast testing requirement. To solve this problem, this paper proposes a refined semantic kernel matching pursuit (KMP) approach for fast TC. This approach firstly introduces latent semantic kernel as a new type of dictionary function to KMP, which can deal with high dimensionality, sparsity and ambiguity suffered in text. Moreover, taking the practical issue of data distribution drift with time changing into account, we further propose a method for constructing refined semantic dictionary via concept factorization, which can maintain the updated representative samples in the limited storage to be utilized for various model updating schemes in future. The experimental results demonstrate the proposed method can significantly improve the computational efficiency in predicating phase while preserving considerable performance. Â© 2012 Binary Information Press.";"ACCEPTED";"ACCEPTED";"VERY_LOW";29;"2012";"Journal of Computational Information Systems";;"Article";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868373481&partnerID=40&md5=1f779cb29d30ccd919244b878b26cd62";"8";"8569-8579";;;"01/31/2014";;"N";"N";"N";"N";"N";;"15/05/2014";"1";"Y";"N";"alta dimensionalidade, esparsidade, disambiguacao";"null";"null";"null";"null";"classificacao";"null";"Kernel-based learning";"null";"null";"null";"null";"null";"introduces latent semantic kernel as a new type of dictionary function to KMP";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"10"
15106;"Exploiting Turkish Wikipedia as a semantic resource for text classification";0;"Poyraz, M. and Ganiz, M.C. and AkyokuÅŸ, S. and GÃ¶rener, B. and Kilimci, Z.H.";"Majority of the existing text classification algorithms are based on the ""bag of words"" (BOW) approach, in which the documents are represented as weighted occurrence frequencies of individual terms. However, semantic relations between terms are ignored in this representation. There are several studies which address this problem by integrating background knowledge such as WordNet, ODP or Wikipedia as a semantic source. However, vast majority of these studies are applied to English texts and to the date there are no similar studies on classification of Turkish documents. We empirically analyze the effect of using Turkish Wikipedia (Vikipedi) as a semantic resource in classification of Turkish documents. Our results demonstrate that performance of classification algorithms can be improved by exploiting Vikipedi concepts. Additionally, we show that Vikipedi concepts have surprisingly large coverage in our datasets which mostly consist of Turkish newspaper articles. Â© 2012 IEEE.";"ACCEPTED";"ACCEPTED";"LOW";37;"2012";"INISTA 2012 - International Symposium on INnovations in Intelligent SysTems and Applications";;"Conference Paper";;"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866613078&partnerID=40&md5=5a1ab4c2ff88b8daf635d94a797de905";;;;;"01/31/2014";;"N";"N";"N";"N";"N";;"13/05/2014";"1";"Y";"N";"relacoes semanticas";"null";"null";"wikipedia";"null";"classificacao";"turco";"null";"null";"null";"null";"null";"null";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"Y";"N";"null";"N";"N";"N";"N";"null";"Y";"N";"null";"null"
